Lead_ID,Acquisition_Channel,Current_Stage,Annual_Contract_Value_USD,Creation_Date,Days_to_Close,Close_Date
10200,Outbound,Closed Lost,18426.24,2025-09-10,63.0,2025-11-12
10211,Outbound,Closed Lost,25248.5,2025-04-18,92.0,2025-07-19
10215,Outbound,Closed Lost,22780.69,2025-05-08,96.0,2025-08-12
10222,Outbound,Closed Lost,27908.71,2025-03-21,55.0,2025-05-15
10230,Outbound,Closed Lost,21910.56,2025-10-07,41.0,2025-11-17
10233,Outbound,Closed Lost,23032.94,2025-12-01,164.0,2026-05-14
10236,Outbound,Closed Lost,28357.73,2025-03-09,74.0,2025-05-22
10256,Outbound,Closed Lost,25208.11,2025-12-04,178.0,2026-05-31
10258,Outbound,Closed Lost,32176.33,2025-11-26,82.0,2026-02-16
10259,Outbound,Closed Lost,18701.93,2025-03-07,75.0,2025-05-21
10261,Outbound,Closed Lost,24655.59,2025-01-28,38.0,2025-03-07
10279,Outbound,Closed Lost,29794.97,2025-01-19,80.0,2025-04-09
10285,Outbound,Closed Lost,18685.75,2025-06-25,71.0,2025-09-04
10287,Outbound,Closed Lost,25465.97,2025-06-24,83.0,2025-09-15
10290,Outbound,Closed Lost,22794.65,2025-06-23,36.0,2025-07-29
10299,Outbound,Closed Lost,21291.59,2025-11-02,75.0,2026-01-16
10304,Outbound,Closed Lost,32183.09,2025-07-02,50.0,2025-08-21
10305,Outbound,Closed Lost,31555.28,2025-12-18,176.0,2026-06-12
10309,Outbound,Closed Lost,26497.29,2025-05-03,91.0,2025-08-02
10329,Outbound,Closed Lost,24084.43,2025-02-07,167.0,2025-07-24
10344,Outbound,Closed Lost,25302.37,2025-08-29,50.0,2025-10-18
10347,Outbound,Closed Lost,26003.32,2025-04-19,140.0,2025-09-06
10350,Outbound,Closed Lost,25407.77,2025-08-08,57.0,2025-10-04
10351,Outbound,Closed Lost,25253.4,2025-03-24,76.0,2025-06-08
10358,Outbound,Closed Lost,22859.25,2025-01-08,43.0,2025-02-20
10362,Outbound,Closed Lost,30112.31,2025-04-18,45.0,2025-06-02
10364,Outbound,Closed Lost,23962.24,2025-03-08,67.0,2025-05-14
10382,Outbound,Closed Lost,20787.28,2025-11-07,144.0,2026-03-31
10394,Outbound,Closed Lost,22949.1,2025-09-09,100.0,2025-12-18
10399,Outbound,Closed Lost,26308.02,2025-08-07,101.0,2025-11-16
10414,Outbound,Closed Lost,25370.44,2025-05-12,60.0,2025-07-11
10419,Outbound,Closed Lost,31827.48,2025-06-11,102.0,2025-09-21
10436,Outbound,Closed Lost,24548.16,2025-10-03,118.0,2026-01-29
10456,Outbound,Closed Lost,25641.43,2025-11-09,43.0,2025-12-22
10462,Outbound,Closed Lost,23226.15,2025-04-15,85.0,2025-07-09
10480,Outbound,Closed Lost,21764.46,2025-10-04,94.0,2026-01-06
10481,Outbound,Closed Lost,24474.12,2025-01-27,94.0,2025-05-01
10483,Outbound,Closed Lost,26081.18,2025-12-19,175.0,2026-06-12
10501,Outbound,Closed Lost,21831.91,2025-12-10,159.0,2026-05-18
10511,Outbound,Closed Lost,27252.62,2025-06-21,125.0,2025-10-24
10521,Outbound,Closed Lost,23599.72,2025-10-04,120.0,2026-02-01
10526,Outbound,Closed Lost,22783.91,2025-10-21,127.0,2026-02-25
10534,Outbound,Closed Lost,22544.18,2025-09-06,165.0,2026-02-18
10535,Outbound,Closed Lost,28276.32,2025-04-09,51.0,2025-05-30
10544,Outbound,Closed Lost,27350.08,2025-03-20,108.0,2025-07-06
10549,Outbound,Closed Lost,23076.76,2025-01-25,34.0,2025-02-28
10560,Outbound,Closed Lost,26370.06,2025-06-17,93.0,2025-09-18
10561,Outbound,Closed Lost,20511.52,2025-04-25,123.0,2025-08-26
10571,Outbound,Closed Lost,27573.7,2025-02-05,164.0,2025-07-19
10583,Outbound,Closed Lost,23029.93,2025-02-12,143.0,2025-07-05
10585,Outbound,Closed Lost,20469.88,2025-06-30,41.0,2025-08-10
10592,Outbound,Closed Lost,25630.91,2025-10-26,127.0,2026-03-02
10597,Outbound,Closed Lost,26426.77,2025-04-22,134.0,2025-09-03
10606,Outbound,Closed Lost,22595.42,2025-02-18,126.0,2025-06-24
10612,Outbound,Closed Lost,23315.99,2025-03-18,114.0,2025-07-10
10613,Outbound,Closed Lost,24011.53,2025-03-03,142.0,2025-07-23
10620,Outbound,Closed Lost,26126.37,2025-01-29,150.0,2025-06-28
10625,Outbound,Closed Lost,20103.96,2025-05-11,78.0,2025-07-28
10633,Outbound,Closed Lost,24429.28,2025-09-08,94.0,2025-12-11
10634,Outbound,Closed Lost,20507.66,2025-11-17,80.0,2026-02-05
10648,Outbound,Closed Lost,23328.61,2025-05-26,88.0,2025-08-22
10652,Outbound,Closed Lost,30053.57,2025-10-10,98.0,2026-01-16
10654,Outbound,Closed Lost,25069.59,2025-10-27,136.0,2026-03-12
10684,Outbound,Closed Lost,26933.79,2025-11-23,50.0,2026-01-12
10700,Outbound,Closed Lost,23148.36,2025-12-05,49.0,2026-01-23
10720,Outbound,Closed Lost,25332.66,2025-11-21,147.0,2026-04-17
10724,Outbound,Closed Lost,29198.46,2025-06-07,116.0,2025-10-01
10725,Outbound,Closed Lost,23114.04,2025-07-25,123.0,2025-11-25
10733,Outbound,Closed Lost,19098.02,2025-02-22,70.0,2025-05-03
10748,Outbound,Closed Lost,28296.95,2025-11-13,55.0,2026-01-07
10753,Outbound,Closed Lost,17847.08,2025-12-17,84.0,2026-03-11
10756,Outbound,Closed Lost,26285.03,2025-03-23,113.0,2025-07-14
10757,Outbound,Closed Lost,22865.61,2025-01-09,82.0,2025-04-01
10758,Outbound,Closed Lost,23846.63,2025-08-01,171.0,2026-01-19
10764,Outbound,Closed Lost,21172.95,2025-10-07,123.0,2026-02-07
10766,Outbound,Closed Lost,23044.97,2025-04-18,155.0,2025-09-20
10781,Outbound,Closed Lost,26912.82,2025-12-12,162.0,2026-05-23
10782,Outbound,Closed Lost,25776.31,2025-07-12,129.0,2025-11-18
10788,Outbound,Closed Lost,20491.39,2025-10-13,59.0,2025-12-11
10801,Outbound,Closed Lost,28946.52,2025-11-10,35.0,2025-12-15
10805,Outbound,Closed Lost,21833.08,2025-02-26,42.0,2025-04-09
10817,Outbound,Closed Lost,23524.13,2025-03-09,154.0,2025-08-10
10825,Outbound,Closed Lost,25226.73,2025-10-09,94.0,2026-01-11
10830,Outbound,Closed Lost,24921.22,2025-08-19,142.0,2026-01-08
10835,Outbound,Closed Lost,28263.13,2025-02-07,176.0,2025-08-02
10836,Outbound,Closed Lost,27074.86,2025-01-28,61.0,2025-03-30
10859,Outbound,Closed Lost,23340.47,2025-08-02,109.0,2025-11-19
10863,Outbound,Closed Lost,28374.8,2025-01-15,62.0,2025-03-18
10864,Outbound,Closed Lost,19771.68,2025-05-06,144.0,2025-09-27
10866,Outbound,Closed Lost,24169.98,2025-12-07,32.0,2026-01-08
10873,Outbound,Closed Lost,26256.28,2025-07-20,174.0,2026-01-10
10877,Outbound,Closed Lost,27696.01,2025-03-15,171.0,2025-09-02
10904,Outbound,Closed Lost,27121.1,2025-11-20,66.0,2026-01-25
10916,Outbound,Closed Lost,29704.55,2025-08-16,50.0,2025-10-05
10922,Outbound,Closed Lost,28384.72,2025-08-09,175.0,2026-01-31
10924,Outbound,Closed Lost,22582.6,2025-02-12,118.0,2025-06-10
10934,Outbound,Closed Lost,20691.24,2025-06-02,135.0,2025-10-15
10940,Outbound,Closed Lost,25138.02,2025-10-19,130.0,2026-02-26
10950,Outbound,Closed Lost,23974.53,2025-12-16,77.0,2026-03-03
10955,Outbound,Closed Lost,28765.44,2025-05-26,97.0,2025-08-31
10962,Outbound,Closed Lost,21858.53,2025-03-15,153.0,2025-08-15
10967,Outbound,Closed Lost,24685.1,2025-07-10,102.0,2025-10-20
10970,Outbound,Closed Lost,24348.52,2025-03-14,101.0,2025-06-23
10973,Outbound,Closed Lost,23970.38,2025-06-17,48.0,2025-08-04
10977,Outbound,Closed Lost,22679.63,2025-08-20,165.0,2026-02-01
10980,Outbound,Closed Lost,21891.57,2025-11-23,72.0,2026-02-03
10988,Outbound,Closed Lost,19285.17,2025-12-05,76.0,2026-02-19
10992,Outbound,Closed Lost,23188.49,2025-03-22,110.0,2025-07-10
11000,Outbound,Closed Lost,25129.12,2025-06-20,70.0,2025-08-29
11004,Outbound,Closed Lost,24156.62,2025-07-05,60.0,2025-09-03
11006,Outbound,Closed Lost,29236.08,2025-07-23,146.0,2025-12-16
11007,Outbound,Closed Lost,23115.57,2025-02-11,119.0,2025-06-10
11021,Outbound,Closed Lost,29172.92,2025-06-22,36.0,2025-07-28
11032,Outbound,Closed Lost,20785.55,2025-08-04,124.0,2025-12-06
11042,Outbound,Closed Lost,22491.72,2025-03-04,58.0,2025-05-01
11046,Outbound,Closed Lost,23932.08,2025-08-13,58.0,2025-10-10
11064,Outbound,Closed Lost,24681.42,2025-04-09,136.0,2025-08-23
11078,Outbound,Closed Lost,24308.02,2025-04-22,112.0,2025-08-12
11087,Outbound,Closed Lost,21250.54,2025-09-01,147.0,2026-01-26
11092,Outbound,Closed Lost,28590.73,2025-09-12,170.0,2026-03-01
11099,Outbound,Closed Lost,24290.65,2025-08-07,46.0,2025-09-22
11116,Outbound,Closed Lost,22016.93,2025-07-24,34.0,2025-08-27
11131,Outbound,Closed Lost,23995.59,2025-02-15,99.0,2025-05-25
11132,Outbound,Closed Lost,19618.24,2025-08-24,138.0,2026-01-09
11138,Outbound,Closed Lost,23840.38,2025-03-12,96.0,2025-06-16
11148,Outbound,Closed Lost,25963.87,2025-03-09,142.0,2025-07-29
11154,Outbound,Closed Lost,30016.8,2025-08-02,77.0,2025-10-18
11155,Outbound,Closed Lost,22787.86,2025-08-08,59.0,2025-10-06
11164,Outbound,Closed Lost,28020.19,2025-11-29,131.0,2026-04-09
11171,Outbound,Closed Lost,24544.1,2025-11-06,149.0,2026-04-04
11173,Outbound,Closed Lost,22318.76,2025-09-27,82.0,2025-12-18
11179,Outbound,Closed Lost,26517.21,2025-02-06,165.0,2025-07-21
11180,Outbound,Closed Lost,24739.9,2025-04-17,50.0,2025-06-06
11187,Outbound,Closed Lost,26937.67,2025-11-16,126.0,2026-03-22
11199,Outbound,Closed Lost,22099.89,2025-09-30,101.0,2026-01-09
11214,Outbound,Closed Lost,27500.81,2025-09-06,84.0,2025-11-29
11230,Outbound,Closed Lost,31315.89,2025-12-04,54.0,2026-01-27
11242,Outbound,Closed Lost,18538.81,2025-08-27,119.0,2025-12-24
11245,Outbound,Closed Lost,29959.93,2025-09-09,136.0,2026-01-23
11251,Outbound,Closed Lost,30974.11,2025-07-26,107.0,2025-11-10
11255,Outbound,Closed Lost,22608.66,2025-08-06,73.0,2025-10-18
11258,Outbound,Closed Lost,23818.04,2025-01-17,176.0,2025-07-12
11260,Outbound,Closed Lost,25919.17,2025-07-25,76.0,2025-10-09
11264,Outbound,Closed Lost,25514.41,2025-01-27,174.0,2025-07-20
11273,Outbound,Closed Lost,24357.55,2025-08-28,154.0,2026-01-29
11280,Outbound,Closed Lost,26339.61,2025-02-12,80.0,2025-05-03
11281,Outbound,Closed Lost,25598.83,2025-09-20,82.0,2025-12-11
11283,Outbound,Closed Lost,26437.01,2025-12-05,153.0,2026-05-07
11299,Outbound,Closed Lost,20098.23,2025-08-04,141.0,2025-12-23
11313,Outbound,Closed Lost,25328.71,2025-09-25,30.0,2025-10-25
11316,Outbound,Closed Lost,29598.62,2025-11-07,171.0,2026-04-27
11331,Outbound,Closed Lost,23904.16,2025-08-15,43.0,2025-09-27
11332,Outbound,Closed Lost,32163.9,2025-12-13,120.0,2026-04-12
11346,Outbound,Closed Lost,22313.72,2025-09-07,177.0,2026-03-03
11353,Outbound,Closed Lost,24714.67,2025-05-03,61.0,2025-07-03
11360,Outbound,Closed Lost,25280.57,2025-03-12,150.0,2025-08-09
11365,Outbound,Closed Lost,21569.98,2025-12-11,177.0,2026-06-06
11374,Outbound,Closed Lost,28188.56,2025-12-19,168.0,2026-06-05
11377,Outbound,Closed Lost,26602.62,2025-09-21,111.0,2026-01-10
11397,Outbound,Closed Lost,22551.54,2025-02-22,38.0,2025-04-01
11399,Outbound,Closed Lost,25905.88,2025-09-30,59.0,2025-11-28
11404,Outbound,Closed Lost,21558.52,2025-07-11,44.0,2025-08-24
11409,Outbound,Closed Lost,23547.22,2025-02-06,152.0,2025-07-08
11415,Outbound,Closed Lost,25190.95,2025-09-06,140.0,2026-01-24
11419,Outbound,Closed Lost,30676.58,2025-07-23,65.0,2025-09-26
11429,Outbound,Closed Lost,25430.28,2025-11-29,108.0,2026-03-17
11440,Outbound,Closed Lost,25397.49,2025-03-25,135.0,2025-08-07
11443,Outbound,Closed Lost,26012.45,2025-06-06,81.0,2025-08-26
11444,Outbound,Closed Lost,24210.08,2025-11-15,164.0,2026-04-28
11447,Outbound,Closed Lost,29774.2,2025-03-05,121.0,2025-07-04
11451,Outbound,Closed Lost,19812.45,2025-05-09,171.0,2025-10-27
11458,Outbound,Closed Lost,28835.73,2025-04-13,107.0,2025-07-29
11464,Outbound,Closed Lost,24551.63,2025-06-09,31.0,2025-07-10
11468,Outbound,Closed Lost,23925.27,2025-06-16,138.0,2025-11-01
11474,Outbound,Closed Lost,29746.35,2025-04-18,90.0,2025-07-17
11478,Outbound,Closed Lost,23020.75,2025-11-04,80.0,2026-01-23
11488,Outbound,Closed Lost,29110.31,2025-04-27,167.0,2025-10-11
11498,Outbound,Closed Lost,23105.05,2025-03-21,95.0,2025-06-24
11530,Outbound,Closed Lost,27319.72,2025-03-21,117.0,2025-07-16
11532,Outbound,Closed Lost,25924.88,2025-05-15,130.0,2025-09-22
11533,Outbound,Closed Lost,23198.84,2025-11-02,46.0,2025-12-18
11541,Outbound,Closed Lost,24724.09,2025-01-14,97.0,2025-04-21
11543,Outbound,Closed Lost,23790.14,2025-09-18,133.0,2026-01-29
11567,Outbound,Closed Lost,23959.69,2025-05-15,51.0,2025-07-05
11569,Outbound,Closed Lost,24335.2,2025-01-10,154.0,2025-06-13
11573,Outbound,Closed Lost,19157.97,2025-04-19,32.0,2025-05-21
11578,Outbound,Closed Lost,25086.33,2025-10-21,67.0,2025-12-27
11587,Outbound,Closed Lost,27871.91,2025-05-21,154.0,2025-10-22
11588,Outbound,Closed Lost,24681.73,2025-07-08,142.0,2025-11-27
11595,Outbound,Closed Lost,23449.46,2025-02-02,136.0,2025-06-18
11610,Outbound,Closed Lost,24659.0,2025-09-17,35.0,2025-10-22
11619,Outbound,Closed Lost,33339.89,2025-11-27,48.0,2026-01-14
11623,Outbound,Closed Lost,18768.64,2025-10-08,175.0,2026-04-01
11644,Outbound,Closed Lost,28295.45,2025-01-23,154.0,2025-06-26
11650,Outbound,Closed Lost,20684.77,2025-02-24,165.0,2025-08-08
11675,Outbound,Closed Lost,24753.24,2025-05-02,59.0,2025-06-30
11692,Outbound,Closed Lost,25412.99,2025-11-29,177.0,2026-05-25
11705,Outbound,Closed Lost,20963.99,2025-09-04,87.0,2025-11-30
11713,Outbound,Closed Lost,27352.44,2025-11-22,50.0,2026-01-11
11725,Outbound,Closed Lost,21454.05,2025-06-04,153.0,2025-11-04
11730,Outbound,Closed Lost,21191.6,2025-04-25,94.0,2025-07-28
11745,Outbound,Closed Lost,28111.54,2025-07-30,70.0,2025-10-08
11749,Outbound,Closed Lost,27079.65,2025-05-07,115.0,2025-08-30
11751,Outbound,Closed Lost,22341.88,2025-06-08,74.0,2025-08-21
11764,Outbound,Closed Lost,26144.28,2025-12-15,70.0,2026-02-23
11772,Outbound,Closed Lost,20889.92,2025-01-29,78.0,2025-04-17
11775,Outbound,Closed Lost,28805.75,2025-01-13,95.0,2025-04-18
11778,Outbound,Closed Lost,29273.88,2025-02-19,82.0,2025-05-12
11784,Outbound,Closed Lost,22888.87,2025-02-22,34.0,2025-03-28
11785,Outbound,Closed Lost,30077.04,2025-05-10,164.0,2025-10-21
11790,Outbound,Closed Lost,24775.22,2025-04-07,143.0,2025-08-28
11794,Outbound,Closed Lost,25849.16,2025-06-21,31.0,2025-07-22
11797,Outbound,Closed Lost,25058.8,2025-10-22,106.0,2026-02-05
11811,Outbound,Closed Lost,19747.07,2025-06-19,78.0,2025-09-05
11823,Outbound,Closed Lost,24158.49,2025-12-01,63.0,2026-02-02
11824,Outbound,Closed Lost,20791.4,2025-06-09,124.0,2025-10-11
11826,Outbound,Closed Lost,28336.3,2025-12-19,131.0,2026-04-29
11829,Outbound,Closed Lost,24091.34,2025-12-18,48.0,2026-02-04
11834,Outbound,Closed Lost,27121.69,2025-06-13,68.0,2025-08-20
11843,Outbound,Closed Lost,25476.27,2025-05-05,94.0,2025-08-07
11857,Outbound,Closed Lost,22359.96,2025-03-24,66.0,2025-05-29
11864,Outbound,Closed Lost,28984.5,2025-09-22,88.0,2025-12-19
11873,Outbound,Closed Lost,24821.04,2025-02-05,167.0,2025-07-22
11881,Outbound,Closed Lost,21321.46,2025-09-10,126.0,2026-01-14
11884,Outbound,Closed Lost,24994.86,2025-05-23,143.0,2025-10-13
11895,Outbound,Closed Lost,26120.6,2025-01-06,175.0,2025-06-30
11897,Outbound,Closed Lost,23226.94,2025-11-09,172.0,2026-04-30
11903,Outbound,Closed Lost,22718.91,2025-11-26,132.0,2026-04-07
11915,Outbound,Closed Lost,26658.72,2025-05-29,178.0,2025-11-23
11918,Outbound,Closed Lost,25602.1,2025-01-21,175.0,2025-07-15
11920,Outbound,Closed Lost,23966.57,2025-01-21,173.0,2025-07-13
11927,Outbound,Closed Lost,24666.04,2025-03-06,146.0,2025-07-30
11928,Outbound,Closed Lost,25897.26,2025-12-08,111.0,2026-03-29
11931,Outbound,Closed Lost,27592.75,2025-11-27,96.0,2026-03-03
11932,Outbound,Closed Lost,16877.37,2025-09-16,101.0,2025-12-26
11934,Outbound,Closed Lost,22227.81,2025-01-06,77.0,2025-03-24
11944,Outbound,Closed Lost,27330.81,2025-03-28,139.0,2025-08-14
11953,Outbound,Closed Lost,25048.37,2025-11-01,50.0,2025-12-21
